case_id;operation;timestamp
3844;Create;9.6.2017 15:23
3072;SendByEmail;09/30/2017 11:55:03
3682;SendByEmail;09/30/2017 13:49:04
4667;Copy;09/14/2017 08:16:30
3287;Delete;09/22/2017 10:00:03
1443;Open;09/23/2017 10:02:47
1443;Open;09/23/2017 12:30:54
1443;Open;09/23/2017 09:13:31
1443;Open;09/23/2017 13:33:46
3156;Open;09/23/2017 13:39:00
4046;Open;09/15/2017 14:36:29
4046;Open;09/23/2017 13:18:46
2696;Move;09/22/2017 13:51:18
2696;Delete;09/22/2017 13:51:19
2696;Move;09/22/2017 13:51:19
2696;Move;09/24/2017 11:30:51
2696;Open;09/22/2017 13:51:25
2696;Move;09/22/2017 13:51:18
1969;Open;09/23/2017 12:47:43
1969;Open;09/23/2017 12:18:34
1969;Open;09/23/2017 13:18:41
1879;Open;09/22/2017 10:31:14
5508;Copy;09/14/2017 08:16:30
3115;Move;09/24/2017 11:30:51
5395;Move;09/24/2017 11:30:51
5397;Move;09/24/2017 11:30:51
1425;Open;09/23/2017 10:02:47
1425;Open;09/23/2017 12:30:54
1425;Open;09/23/2017 13:33:46
1425;Open;09/23/2017 09:13:31
5178;Create;09/28/2017 11:56:24
4016;Open;09/22/2017 09:26:24
4016;Open;9.8.2017 10:24
4016;Open;09/21/2017 15:22:16
4016;Open;09/22/2017 10:01:22
4016;Delete;09/21/2017 15:19:04
4016;Delete;09/21/2017 15:19:04
1110;Create;09/14/2017 13:36:24
1110;Move;09/24/2017 11:30:51
1742;Delete;09/20/2017 13:31:33
3926;Create;09/23/2017 09:58:24
3926;Delete;09/23/2017 09:58:25
1392;Delete;09/23/2017 07:56:21
2839;Copy;09/14/2017 08:16:30
1909;Delete;9.6.2017 13:33
1909;Open;09/23/2017 09:13:31
1909;Move;09/24/2017 11:30:51
1909;Move;09/22/2017 13:51:19
1909;Open;09/23/2017 12:30:54
1909;Delete;09/27/2017 09:05:18
1909;Open;09/23/2017 13:33:57
1909;Move;09/22/2017 13:51:18
1909;Open;09/22/2017 13:51:24
1909;Move;09/22/2017 13:51:19
1909;Move;09/22/2017 13:51:18
3014;Open;09/14/2017 13:29:07
3014;Rename;09/14/2017 13:29:15
3004;Create;09/14/2017 13:29:05
4698;Open;09/23/2017 13:20:49
2444;Create;09/23/2017 08:12:02
3870;Open;09/23/2017 12:19:11
3870;Open;09/23/2017 12:47:57
4494;Open;09/23/2017 12:47:57
4494;Open;09/23/2017 12:19:11
2131;Create;09/22/2017 13:49:34
2131;Delete;09/22/2017 13:49:34
1095;Open;09/22/2017 09:25:47
1095;Delete;09/22/2017 09:25:47
1095;Delete;9.8.2017 10:23
1095;Open;09/20/2017 09:45:29
1095;Delete;09/20/2017 09:45:29
1095;Open;9.8.2017 10:23
1095;Open;9.9.2017 9:03
1095;Delete;9.9.2017 9:03
1095;Open;09/22/2017 10:01:09
1095;Delete;09/22/2017 10:01:09
1241;Open;09/28/2017 09:01:25
1241;Open;09/22/2017 10:41:06
1241;Open;09/24/2017 13:00:56
752;Create;09/22/2017 14:15:41
524;Open;09/22/2017 13:49:17
524;Open;09/23/2017 09:44:07
524;Open;09/23/2017 10:07:27
524;Open;09/23/2017 10:02:37
524;Open;09/23/2017 09:14:30
524;Open;09/22/2017 13:50:43
524;Open;09/23/2017 10:00:00
524;Open;09/23/2017 10:07:22
524;Open;09/23/2017 10:04:26
1974;Open;09/23/2017 10:07:16
1974;Open;09/23/2017 09:14:37
2018;Open;09/23/2017 09:13:31
2018;Open;09/23/2017 13:33:57
2018;Open;09/23/2017 12:30:54
3089;Open;09/23/2017 12:19:47
3089;Open;09/23/2017 12:48:35
1688;Open;09/23/2017 12:48:12
1688;Open;09/23/2017 12:19:26
3304;Delete;09/27/2017 09:05:16
3304;Delete;09/27/2017 09:05:18
3540;Delete;09/21/2017 15:19:00
1925;Open;09/23/2017 13:33:52
1925;Open;09/23/2017 09:13:31
1925;Open;09/23/2017 12:30:54
430;Open;09/23/2017 10:07:21
430;Open;09/22/2017 13:49:19
430;Open;09/23/2017 10:02:37
430;Open;09/23/2017 09:44:11
430;Open;09/23/2017 10:00:00
430;Open;09/23/2017 10:04:26
430;Open;09/23/2017 10:07:28
430;Open;09/23/2017 09:14:50
430;Open;09/22/2017 13:50:43
2436;Delete;09/23/2017 09:58:26
2436;Create;09/23/2017 09:58:26
2298;Create;09/23/2017 09:58:29
2298;Create;09/22/2017 13:49:35
